"hack_license","medallion","vendor_id","pickup_datetime","dropoff_datetime","trip_distance","trip_time_in_secs","passenger_count"," fare_amount"
"185E00986C047CB07B22C6362733FF3D","A347C834639E16443FE08271C25DA4D5","CMT","2013-05-20 00:03:41","2013-05-20 00:07:10",0.5,208,1,4.5
"C47D9F7CC648CBE94145B68A10167FBA","E3AB17C7483738427A2B8F8843352425","CMT","2013-05-20 00:03:42","2013-05-20 00:07:17",1,214,1,5
"60F905430FC95F3A441B911C2ED59AE6","B774ED00356BA56C9529F05B0A98DDA4","CMT","2013-05-20 00:03:42","2013-05-20 00:07:32",0.5,231,3,4.5
"90C38E2F84F84C7303F81EB292EED3F6","2D33D342F8EC93B7E6B15ABCB05BD2CB","CMT","2013-05-20 00:03:42","2013-05-20 00:14:48",2.2,664,1,10
"FF6E9ABD484E4F236953CB767E417401","218ABD31CC8BC45592ECE73989DD630A","CMT","2013-05-20 00:03:42","2013-05-20 00:21:17",5.7,1055,2,19
"9B842470208B05E6008454C5E47830BF","11FB95AC57D4AA4CB82BB2E061C53374","CMT","2013-05-20 00:03:43","2013-05-20 00:17:12",4.9,808,1,15.5
"C62C234485742CAE70FD2B2FB5FCB6AF","389BA7D8FE906A75DE74023ADDA9E546","CMT","2013-05-20 00:03:44","2013-05-20 00:07:59",1.1,255,1,5.5
"A43EECF6164C75A44373EFEDB8220CB3","D6CE961B1FD2F1A9E7F2F4A2262A9DDB","CMT","2013-05-20 00:03:45","2013-05-20 00:20:50",5.3,1024,1,18.5
"A69B582C72062AF058A47B57AB11C5E3","6E10C76C341CD82F4F1386AEB9352BE9","CMT","2013-05-20 00:03:45","2013-05-20 00:24:10",0.9,1225,1,18
"B7FF5EB04CEDFB846114CB042E5EB028","1F5F139D6E59FFA2CCA2D34FB40EB112","CMT","2013-05-20 00:03:46","2013-05-20 00:18:38",4.1,892,1,14.5
"F82F8C34B4CF61159B4B1AED65531243","21FA2CE8EE7DA11B3A7DEAAEC453F560","CMT","2013-05-20 00:03:46","2013-05-20 00:14:46",2.9,659,1,11
"48430F5646D06BABB2F098623F3FFC69","15DDE801ACCDF7AE714657238A6B66DE","CMT","2013-05-20 00:03:47","2013-05-20 00:11:28",1.7,460,1,8
"08DBDC7475E6AA2DF8CC8CE8F379FD64","49C9227048FED37BBC73D42DA775514B","CMT","2013-05-20 00:03:47","2013-05-20 00:09:58",2.8,372,1,9.5
"C6696FE9EB95BC5FBFBB525B846DEB0D","F67A6528B968DFEA2B9519D0C9F91CE5","CMT","2013-05-20 00:03:48","2013-05-20 00:17:42",3.2,834,1,13
